node_id,latitude,longitude
0,-3.8391172,-38.5833742
1,-3.8389964,-38.5834204
2,-3.838907,-38.58383
3,-3.8210297,-38.5582403
4,-3.8255382,-38.5588683
5,-3.8212042,-38.5581201
6,-3.7787962,-38.5465334
7,-3.7373467,-38.5286193
8,-3.8775447,-38.5002438
9,-3.8278227,-38.5046282
10,-3.7583273,-38.5195281
11,-3.7822592,-38.5356239
12,-3.7837436,-38.5170239
13,-3.7817602,-38.5162007
14,-3.779815,-38.5152943
15,-3.7836817,-38.525619
16,-3.7826896,-38.5163745
17,-3.7653224,-38.5184285
18,-3.8094461,-38.5009177
19,-3.8118322,-38.5007658
20,-3.8278045,-38.5048196
21,-3.8316201,-38.5047959
22,-3.8776926,-38.5005113
23,-3.7737725,-38.5128274
24,-3.7770251,-38.513479
25,-3.7775539,-38.5137173
26,-3.7785492,-38.5136327
27,-3.7805914,-38.5157788
28,-3.7771167,-38.513394
29,-3.7791715,-38.5148619
30,-3.7983382,-38.5060939
31,-3.8009399,-38.5048947
32,-3.7802561,-38.5140753
33,-3.7796057,-38.514312
34,-3.7775036,-38.5152963
35,-3.7781477,-38.5177746
36,-3.7801531,-38.5145785
37,-3.7815196,-38.5159438
38,-3.7807938,-38.5143338
39,-3.7710022,-38.5171049
40,-3.7719291,-38.5168364
41,-3.7614812,-38.5191884
42,-3.7613303,-38.5195126
43,-3.7609699,-38.5191125
44,-3.7602474,-38.5192123
45,-3.7612742,-38.5200282
46,-3.7616053,-38.518197
47,-3.7609325,-38.5188924
48,-3.7614631,-38.5184239
49,-3.7614891,-38.5177351
50,-3.7611335,-38.5178952
51,-3.7602338,-38.5189961
52,-3.7561371,-38.5243157
53,-3.7564166,-38.5239757
54,-3.7537565,-38.523356
55,-3.7608556,-38.5239175
56,-3.7608686,-38.5238128
57,-3.7387121,-38.5245071
58,-3.7386838,-38.5232873
59,-3.7392083,-38.5223954
60,-3.7401999,-38.5243788
61,-3.7398561,-38.522598
62,-3.7609484,-38.5239269
63,-3.7581248,-38.5320622
64,-3.755353,-38.5297615
65,-3.7551427,-38.5296224
66,-3.7517716,-38.5265334
67,-3.7553047,-38.5298048
68,-3.7580491,-38.5321591
69,-3.7502441,-38.5283128
70,-3.7536464,-38.5217094
71,-3.7535837,-38.5204866
72,-3.753505,-38.5205025
73,-3.7493775,-38.5213172
74,-3.7399764,-38.5233079
75,-3.7368932,-38.5239393
76,-3.7433079,-38.5093329
77,-3.7248505,-38.5034171
78,-3.7248334,-38.5034732
79,-3.7432859,-38.5094049
80,-3.7525539,-38.5123827
81,-3.7494347,-38.4555241
82,-3.7495518,-38.4568533
83,-3.7454412,-38.4696599
84,-3.7287952,-38.5212174
85,-3.7287773,-38.5212781
86,-3.7284628,-38.52223
87,-3.733645,-38.5063139
88,-3.7336662,-38.5062506
89,-3.7470651,-38.4506297
90,-3.7519206,-38.5208058
91,-3.7520627,-38.5219189
92,-3.749141,-38.523761
93,-3.7428399,-38.5257048
94,-3.7522104,-38.5232702
95,-3.7440456,-38.5257533
96,-3.7524878,-38.5234923
97,-3.7536825,-38.5235667
98,-3.7521153,-38.5234993
99,-3.7524567,-38.5252083
100,-3.7523428,-38.5243262
101,-3.7537263,-38.5238834
102,-3.7526044,-38.5242807
103,-3.7417796,-38.5269905
104,-3.7538423,-38.5223113
105,-3.7506462,-38.5210504
106,-3.7508805,-38.5221626
107,-3.7510262,-38.5234512
108,-3.7510491,-38.5236657
109,-3.7511527,-38.5245139
110,-3.7512613,-38.5253957
111,-3.7514416,-38.5267903
112,-3.7649129,-38.518572
113,-3.7881142,-38.6065522
114,-3.7856803,-38.6093588
115,-3.7212989,-38.529131
116,-3.8245156,-38.5588787
117,-3.7706992,-38.5498891
118,-3.7689934,-38.5507606
119,-3.76877,-38.5534186
120,-3.769582,-38.5540897
121,-3.7699178,-38.5531757
122,-3.7702514,-38.5522281
123,-3.7829502,-38.5253483
124,-3.7837933,-38.52771
125,-3.7844868,-38.5277509
126,-3.8021322,-38.5525569
127,-3.7683341,-38.5546779
128,-3.7679928,-38.5555965
129,-3.7676993,-38.5564514
130,-3.7673814,-38.5572987
131,-3.7670874,-38.5581307
132,-3.7670596,-38.5541327
133,-3.7689212,-38.5559299
134,-3.7686131,-38.5567715
135,-3.7680215,-38.5584505
136,-3.7619284,-38.5164623
137,-3.7625365,-38.515118
138,-3.7615742,-38.517667
139,-3.7597997,-38.5303209
140,-3.7665864,-38.5306299
141,-3.7664836,-38.5089574
142,-3.7615694,-38.5071545
143,-3.7530343,-38.5036843
144,-3.7515724,-38.5032414
145,-3.7514826,-38.5032092
146,-3.7514932,-38.5032884
147,-3.7515825,-38.5033142
148,-3.7530126,-38.5037787
149,-3.7620257,-38.5082144
150,-3.7676347,-38.5095143
151,-3.7706925,-38.51088
152,-3.7717124,-38.5115741
153,-3.7727949,-38.5125732
154,-3.7709652,-38.5123907
155,-3.7712423,-38.5137681
