id,x,y
0,-38.5833742,-3.8391172
1,-38.5834204,-3.8389964
2,-38.58383,-3.838907
25145,-38.5829765,-3.8372121
32175,-38.5840394,-3.8391193
3,-38.5582403,-3.8210297
29141,-38.558279,-3.8211461
7277,-38.5587676,-3.82083
4,-38.5590864,-3.8258746
28462,-38.5591268,-3.8260834
35065,-38.5589457,-3.8259072
5,-38.5588683,-3.8255382
34870,-38.5588738,-3.8246034
6,-38.5581201,-3.8212042
29150,-38.5581144,-3.8210681
28626,-38.555963,-3.821854
7,-38.5465334,-3.7787962
15410,-38.5461191,-3.7797389
15407,-38.5458018,-3.7791471
8,-38.5286193,-3.7373467
26562,-38.5284043,-3.7367231
281,-38.5295298,-3.7371517
9,-38.5002438,-3.8775447
17772,-38.5001731,-3.8774437
17792,-38.4977024,-3.8683505
10,-38.5046282,-3.8278227
17065,-38.5038091,-3.8280442
17062,-38.5043916,-3.8269028
11,-38.5195281,-3.7583273
29849,-38.5201367,-3.7576679
27240,-38.5196303,-3.7578976
12,-38.5356239,-3.7822592
15412,-38.5343277,-3.7826547
15413,-38.5337847,-3.7822327
13,-38.5162007,-3.7817602
3782,-38.5164874,-3.7785553
14,-38.525619,-3.7836817
121,-38.5253483,-3.7829502
17354,-38.5225201,-3.7835598
15,-38.5163745,-3.7826896
35,-38.5159438,-3.7815196
16,-38.5184285,-3.7653224
30282,-38.5179121,-3.7675102
17,-38.5009177,-3.8094461
4623,-38.5007291,-3.8115141
18,-38.5007658,-3.8118322
31472,-38.5009862,-3.8118345
22525,-38.5009176,-3.8125068
19,-38.5048196,-3.8278045
34561,-38.5049474,-3.827772
17653,-38.5050315,-3.8286817
20,-38.5047959,-3.8316201
17651,-38.5042275,-3.8328785
21,-38.5005113,-3.8776926
23524,-38.5020858,-3.8772475
23520,-38.5006945,-3.8785693
22,-38.5128274,-3.7737725
3854,-38.5129685,-3.7746722
3844,-38.5132825,-3.7738366
23,-38.513479,-3.7770251
3786,-38.5148714,-3.7773934
24,-38.5137173,-3.7775539
27823,-38.5147827,-3.7777517
25,-38.5157788,-3.7805914
26,-38.513394,-3.7771167
3813,-38.5132375,-3.7767579
27,-38.5148619,-3.7791715
34,-38.5145785,-3.7801531
28,-38.5060939,-3.7983382
16137,-38.5067069,-3.8002098
637,-38.5057758,-3.7990401
29,-38.5048947,-3.8009399
11892,-38.5044229,-3.8019433
30,-38.5140753,-3.7802561
31,-38.514312,-3.7796057
34175,-38.5145503,-3.778693
32,-38.5152963,-3.7775036
30280,-38.5152433,-3.7776856
3781,-38.5166632,-3.7778668
33,-38.5177746,-3.7781477
36,-38.5143338,-3.7807938
17204,-38.5135396,-3.7824928
37,-38.5171049,-3.7710022
33457,-38.5171478,-3.7710764
38,-38.5168364,-3.7719291
19056,-38.5167239,-3.7723725
39,-38.5191884,-3.7614812
30529,-38.5186925,-3.7615478
110,-38.518572,-3.7649129
40,-38.5195126,-3.7613303
34265,-38.5199754,-3.76128
41,-38.5191125,-3.7609699
42,-38.5192123,-3.7602474
43,-38.5200282,-3.7612742
19069,-38.5208471,-3.7611851
29835,-38.5198984,-3.7601717
44,-38.518197,-3.7616053
34176,-38.5180727,-3.7616218
45,-38.5188924,-3.7609325
49,-38.5189961,-3.7602338
46,-38.5184239,-3.7614631
47,-38.5177351,-3.7614891
48,-38.5178952,-3.7611335
6455,-38.5180136,-3.7614627
50,-38.5243157,-3.7561371
51,-38.5239757,-3.7564166
30754,-38.5236545,-3.7568407
21887,-38.5233297,-3.7564186
52,-38.523356,-3.7537565
92,-38.5232702,-3.7522104
53,-38.5239175,-3.7608556
60,-38.5239269,-3.7609484
4626,-38.5254138,-3.760692
54,-38.5238128,-3.7608686
4658,-38.5237131,-3.7597537
55,-38.5245071,-3.7387121
28549,-38.5245008,-3.7386261
31658,-38.523584,-3.7386192
56,-38.5232873,-3.7386838
57,-38.5223954,-3.7392083
35703,-38.5222974,-3.7389538
59,-38.522598,-3.7398561
19087,-38.5218683,-3.7393829
58,-38.5243788,-3.7401999
32015,-38.5243786,-3.7401657
187,-38.5242642,-3.7407977
72,-38.5233079,-3.7399764
1475,-38.522178,-3.7402825
34677,-38.5238203,-3.7609617
61,-38.5320622,-3.7581248
66,-38.5321591,-3.7580491
17220,-38.5318182,-3.7578713
62,-38.5297615,-3.755353
63,-38.5296224,-3.7551427
577,-38.5280712,-3.7565725
3725,-38.5301152,-3.7546579
29966,-38.529081,-3.7544995
64,-38.5265334,-3.7517716
17302,-38.5259048,-3.7523045
21884,-38.5270126,-3.7523282
65,-38.5298048,-3.7553047
17217,-38.530353,-3.7559026
31678,-38.5322382,-3.7581363
4633,-38.5326529,-3.7576409
67,-38.5283128,-3.7502441
3729,-38.5291546,-3.7512462
4643,-38.5280569,-3.7504747
68,-38.5217094,-3.7536464
16226,-38.521987,-3.7536763
69,-38.5204866,-3.7535837
70,-38.5205025,-3.753505
2216,-38.5193262,-3.7534646
28500,-38.5205811,-3.7535148
88,-38.5208058,-3.7519206
71,-38.5213172,-3.7493775
19735,-38.5215098,-3.7484161
264,-38.5223893,-3.7496574
73,-38.5239393,-3.7368932
338,-38.5240195,-3.7368642
341,-38.5235384,-3.7359778
74,-38.5093329,-3.7433079
1355,-38.5083783,-3.7435932
1705,-38.5090927,-3.7425345
75,-38.5034171,-3.7248505
33337,-38.5033819,-3.7246926
16462,-38.5024109,-3.7251756
76,-38.5034732,-3.7248334
1743,-38.5036412,-3.7253313
77,-38.5094049,-3.7432859
1416,-38.5099022,-3.7448358
78,-38.5123827,-3.7525539
1327,-38.5135394,-3.7526853
79,-38.4555241,-3.7494347
18465,-38.4560257,-3.7484448
16180,-38.4566296,-3.7496026
80,-38.4568533,-3.7495518
